tid	exp	model	lang	method	wrap	frozen	epochs	date	all_preds	bert_score	bleu_score	input_text	langs	pred_text1	prefix	prompt	qid	rouge_score	target_text	top	top_pred	enfat5-large_pred_text1_bart_score
191	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to ask PersonY to play grateful. <br /> to ask PersonX if they can't be helpful	0.43	0.0724974999068182	## PersonX asks PersonY to play ##	en2en	to be helpful	oWant	<oWant>  PersonX asks PersonY to play <extra_id_0>	191	0.3999999952000001	to play	to play	to be helpful	-7.43607
192	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	happy <br /> to be helpful <br /> gets to play the game	0.41	0.0	PersonX asks PersonY to play ## ## ## ## ##	en2en	happy	xAttr	PersonX asks PersonY to play  <xAttr_0>  <xAttr_1>  <xAttr_2>  <xAttr_3>  <extra_id_0>	192	0.0	active	active	happy	-7.45965
192	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets excited <br /> gets thanked <br /> PersonX gets excited	0.45	0.0	PersonX asks PersonY to play ## ## ## ## ##	en2en	gets excited	xAttr	PersonX asks PersonY to play  <xAttr_0>  <xAttr_1>  <xAttr_2>  <xAttr_3>  <extra_id_0>	192	0.0	active	active	gets excited	-7.16653
192	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to ask PersonY to be helpful <br /> to ask PersonY for the game	0.29	0.0	## PersonX asks PersonY to play ##	en2en	to be helpful	xAttr	<xAttr>  PersonX asks PersonY to play <extra_id_0>	192	0.0	active	active	to be helpful	-6.39688
193	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to be helpful <br /> to make sure they are doing something. <br /> to make sure they are doing.	0.38	0.0	PersonX asks PersonY to play ## ## ## ## ## ## ## ## ##	en2en	to be helpful	xEffect	PersonX asks PersonY to play  <xEffect_0>  <xEffect_1>  <xEffect_2>  <xEffect_3>  <xEffect_4>  <xEffect_5>  <xEffect_6>  <xEffect_7>  <extra_id_0>	193	0.0	talks	talks	to be helpful	-5.67969
193	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets excited <br /> gets thanked <br /> PersonX gets excited	0.3	0.0	PersonX asks PersonY to play ## ## ## ## ## ## ## ## ##	en2en	gets excited	xEffect	PersonX asks PersonY to play  <xEffect_0>  <xEffect_1>  <xEffect_2>  <xEffect_3>  <xEffect_4>  <xEffect_5>  <xEffect_6>  <xEffect_7>  <extra_id_0>	193	0.0	talks	talks	gets thanked	-5.65049
193	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to ask PersonX if they can't be helpful <br /> to ask PersonY for the game	0.38	0.0	## PersonX asks PersonY to play ##	en2en	to be helpful	xEffect	<xEffect>  PersonX asks PersonY to play <extra_id_0>	193	0.0	talks	talks	to be helpful	-5.67969
194	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to be helpful <br /> to help persony <br /> to help PersonY	0.38	0.0724974999068182	PersonX asks PersonY to play ## ## ## ## ## ##	en2en	to be helpful	xIntent	PersonX asks PersonY to play  <xIntent_0>  <xIntent_1>  <xIntent_2>  <xIntent_3>  <xIntent_4>  <extra_id_0>	194	0.3333333283333334	to have fun	to have fun	to be helpful	-5.95954
194	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets excited <br /> gets thanked <br /> PersonX gets excited	0.59	0.0	PersonX asks PersonY to play ## ## ## ## ## ##	en2en	gets excited	xIntent	PersonX asks PersonY to play  <xIntent_0>  <xIntent_1>  <xIntent_2>  <xIntent_3>  <xIntent_4>  <extra_id_0>	194	0.0	to have fun	to have fun	gets excited	-6.63727
194	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	PersonY is to be helpful <br /> gets a good time <br /> gets a good job	0.72	0.0456496931223525	## PersonX asks PersonY to play ##	en2en	PersonY is to be helpful	xIntent	<xIntent>  PersonX asks PersonY to play <extra_id_0>	194	0.2499999953125001	to have fun	to have fun	gets a good time	-5.62784
195	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	happy <br /> to be helpful <br /> to be helpful.	0.32	0.0	PersonX asks PersonY to play ## ## ## ## ## ##	en2en	happy	xNeed	PersonX asks PersonY to play  <xNeed_0>  <xNeed_1>  <xNeed_2>  <xNeed_3>  <xNeed_4>  <extra_id_0>	195	0.0	go to PersonY house	go to PersonY house	to be helpful.	-6.62196
195	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets excited <br /> gets thanked <br /> PersonX gets excited	0.35	0.0	PersonX asks PersonY to play ## ## ## ## ## ##	en2en	gets excited	xNeed	PersonX asks PersonY to play  <xNeed_0>  <xNeed_1>  <xNeed_2>  <xNeed_3>  <xNeed_4>  <extra_id_0>	195	0.0	go to PersonY house	go to PersonY house	PersonX gets excited	-6.20677
195	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to ask PersonY for doing the game. <br /> to ask PersonY for doing the game	0.43	0.0519467286215556	## PersonX asks PersonY to play ##	en2en	to be helpful	xNeed	<xNeed>  PersonX asks PersonY to play <extra_id_0>	195	0.2857142808163266	go to PersonY house	go to PersonY house	to ask PersonY for doing the game.	-5.07305
196	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	happy <br /> to be helpful <br /> to be in control of persony	1.0	0.0	PersonX asks PersonY to play ## ## ## ## ## ##	en2en	happy	xReact	PersonX asks PersonY to play  <xReact_0>  <xReact_1>  <xReact_2>  <xReact_3>  <xReact_4>  <extra_id_0>	196	0.999999995	happy	happy	happy	-5.61316
196	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets excited <br /> gets thanked <br /> PersonX gets excited	0.67	0.0	PersonX asks PersonY to play ## ## ## ## ## ##	en2en	gets excited	xReact	PersonX asks PersonY to play  <xReact_0>  <xReact_1>  <xReact_2>  <xReact_3>  <xReact_4>  <extra_id_0>	196	0.0	happy	happy	gets excited	-5.23356
196	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to ask PersonY for doing the game. <br /> to ask PersonY for doing the game	0.35	0.0	## PersonX asks PersonY to play ##	en2en	to be helpful	xReact	<xReact>  PersonX asks PersonY to play <extra_id_0>	196	0.0	happy	happy	to be helpful	-4.96794
197	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to help persony <br /> to help PersonY <br /> to help person Y	0.31	0.0372214575392242	PersonX asks PersonY to play ## ## ## ## ## ##	en2en	to help persony	xWant	PersonX asks PersonY to play  <xWant_0>  <xWant_1>  <xWant_2>  <xWant_3>  <xWant_4>  <extra_id_0>	197	0.2499999953125001	to play a video game	to play a video game	to help persony	-5.64227
197	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets excited <br /> gets thanked <br /> PersonX gets excited	0.19	0.0	PersonX asks PersonY to play ## ## ## ## ## ##	en2en	gets excited	xWant	PersonX asks PersonY to play  <xWant_0>  <xWant_1>  <xWant_2>  <xWant_3>  <xWant_4>  <extra_id_0>	197	0.0	to play a video game	to play a video game	gets excited	-7.10683
197	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to ask PersonX if they can't be helpful <br /> to ask PersonX if they can't be helpful.	0.31	0.0372214575392242	## PersonX asks PersonY to play ##	en2en	to be helpful	xWant	<xWant>  PersonX asks PersonY to play <extra_id_0>	197	0.2499999953125001	to play a video game	to play a video game	to be helpful	-5.87821
198	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to know how they are doing. <br /> to know how they are doing something. <br /> to know how they are doing something	0.08	0.0375934046415699	PersonX asks PersonY to say ## ## ## ## ## ## ## ## ##	en2en	to know how they are doing	oEffect	PersonX asks PersonY to say  <oEffect_0>  <oEffect_1>  <oEffect_2>  <oEffect_3>  <oEffect_4>  <oEffect_5>  <oEffect_6>  <oEffect_7>  <extra_id_0>	198	0.1999999952000001	Tremble due to nerves	Tremble due to nerves	to know how they are doing.	-4.54501
198	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets nervous <br /> gets excited <br /> PersonX is thanked by personY	0.59	0.0	PersonX asks PersonY to say ## ## ## ## ## ## ## ## ##	en2en	gets nervous	oEffect	PersonX asks PersonY to say  <oEffect_0>  <oEffect_1>  <oEffect_2>  <oEffect_3>  <oEffect_4>  <oEffect_5>  <oEffect_6>  <oEffect_7>  <extra_id_0>	198	0.0	Tremble due to nerves	Tremble due to nerves	gets nervous	-6.20935
198	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to ask PersonY for saying. <br /> to ask PersonY for saying	0.13	0.0519467286215556	## PersonX asks PersonY to say ##	en2en	to be helpful	oEffect	<oEffect>  PersonX asks PersonY to say <extra_id_0>	198	0.2857142808163266	Tremble due to nerves	Tremble due to nerves	to be helpful	-6.26131
199	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	happy <br /> to be helpful <br /> gets thanked	0.83	0.0	PersonX asks PersonY to say ## ## ## ## ## ##	en2en	happy	oReact	PersonX asks PersonY to say  <oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  <extra_id_0>	199	0.0	helpful	helpful	to be helpful	-7.38521
199	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets nervous <br /> gets thanked <br /> gets thanked by PersonX	0.38	0.0	PersonX asks PersonY to say ## ## ## ## ## ##	en2en	gets nervous	oReact	PersonX asks PersonY to say  <oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  <extra_id_0>	199	0.0	helpful	helpful	gets thanked	-6.56486
199	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> gets arrested <br />	0.83	0.0724974999068182	## PersonX asks PersonY to say ##	en2en	to be helpful	oReact	<oReact>  PersonX asks PersonY to say <extra_id_0>	199	0.4999999962500001	helpful	helpful	to be helpful	-6.48717
2	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to be helpful <br /> to be helpful. <br /> to make sure they are doing something.	0.24	0.0	PersonX accepts PersonY invitation ## ## ## ## ## ##	en2en	to be helpful	oWant	PersonX accepts PersonY invitation  <oWant_0>  <oWant_1>  <oWant_2>  <oWant_3>  <oWant_4>  <extra_id_0>	2	0.0	wait for engagement	wait for engagement	to be helpful.	-6.82611
2	custom	enfat5-large	mix-mix	unsup-gen	unwrapped-lstm	unfreezed	tr:1-ep:1-(0-45001)-361	2021-12-10-09:27	برای تشکر از ایکس <br /> تا از شخص ایکس بپرسد آیا آن ها می خواهند چیزی بخرند یا نه. <br /> تا از شخص ایکس بپرسد آیا آنها می خواهند چیزی بخرند یا نه.	0.28	0.0	## شخص ایکس دعوت شخص دیگری را می پذیرد ## ##	fa2fa	برای تشکر از ایکس	oWant	<oWant>  شخص ایکس دعوت شخص دیگری را می پذیرد <gen_fa>  <extra_id_0>	2	0.0	منتظر نامزدی باش	منتظر نامزدی باش	تا از شخص ایکس بپرسد آیا آنها می خواهند چیزی بخرند یا نه.	-3.19640
2	custom	enfat5-large	mix-mix	unsup-wrap-lang	wrapped-lstm	freezed	tr:1-ep:1-(0-45001)-361	2021-12-10-14:21	تا با شخص ایکس صحبت کند. <br /> تا از شخص ایکس بپرسد چه می خواهد. <br /> تا با شخص ایکس صحبت کند	0.31	0.0	## ## ## ## ## شخص ایکس دعوت شخص دیگری را می پذیرد ## ## ## ## ## ##	fa2fa	تا با شخص ایکس صحبت کند	oWant	<oWant_0>  <oWant_1>  <oWant_2>  <oWant_3>  <oWant_4>  شخص ایکس دعوت شخص دیگری را می پذیرد <oWant_fa_0>  <oWant_fa_1>  <oWant_fa_2>  <oWant_fa_3>  <oWant_fa_4>  <extra_id_0>	2	0.0	منتظر نامزدی باش	منتظر نامزدی باش	تا با شخص ایکس صحبت کند	-2.50608
2	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets excited <br /> gets thanked <br /> PersonX gets thanked	0.21	0.0	PersonX accepts PersonY invitation ## ## ## ## ## ##	en2en	gets excited	oWant	PersonX accepts PersonY invitation  <oWant_0>  <oWant_1>  <oWant_2>  <oWant_3>  <oWant_4>  <extra_id_0>	2	0.0	wait for engagement	wait for engagement	gets excited	-8.05942
2	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to accept PersonY's invite <br /> to accept PersonY's invite. <br /> gets arrested	0.31	0.0	## PersonX accepts PersonY invitation ##	en2en	to accept PersonY's invite	oWant	<oWant>  PersonX accepts PersonY invitation <extra_id_0>	2	0.0	wait for engagement	wait for engagement	to accept PersonY's invite	-5.20733
20	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to be helpful <br /> to be accepted <br /> to be accepted.	0.4	0.0372214575392242	PersonX accepts PersonY's offer ## ## ## ## ## ##	en2en	to be helpful	oWant	PersonX accepts PersonY's offer  <oWant_0>  <oWant_1>  <oWant_2>  <oWant_3>  <oWant_4>  <extra_id_0>	20	0.2499999953125001	to hand over the goods	to hand over the goods	to be accepted	-7.13367
20	custom	enfat5-large	mix-mix	unsup-gen	unwrapped-lstm	unfreezed	tr:1-ep:1-(0-45001)-361	2021-12-10-09:27	تا از شخص ایکس بپرسد آیا این پیشنهاد را پذیرفته است یا نه. <br /> برای تشکر از ایکس <br /> برای تشکر از شخص ایکس	0.32	0.0	## شخص ایکس پیشنهاد شخص دیگری را قبول می کند. ## ##	fa2fa	تا از شخص ایکس بپرسد آیا این پیشنهاد را پذیرفته است یا نه	oWant	<oWant>  شخص ایکس پیشنهاد شخص دیگری را قبول می کند. <gen_fa>  <extra_id_0>	20	0.0	برای تحویل کالاها	برای تحویل کالاها	برای تشکر از شخص ایکس	-2.38142
20	custom	enfat5-large	mix-mix	unsup-wrap-lang	wrapped-lstm	freezed	tr:1-ep:1-(0-45001)-361	2021-12-10-14:21	شخص ایکس پیشنهاد دیگری را بپذیرد. <br /> تا با شخص ایکس صحبت کند. <br /> تا از شخص ایکس بپرسد چه می خواهد.	0.28	0.0	## ## ## ## ## شخص ایکس پیشنهاد شخص دیگری را قبول می کند. ## ## ## ## ## ##	fa2fa	شخص ایکس پیشنهاد دیگری را بپذیرد	oWant	<oWant_0>  <oWant_1>  <oWant_2>  <oWant_3>  <oWant_4>  شخص ایکس پیشنهاد شخص دیگری را قبول می کند. <oWant_fa_0>  <oWant_fa_1>  <oWant_fa_2>  <oWant_fa_3>  <oWant_fa_4>  <extra_id_0>	20	0.0	برای تحویل کالاها	برای تحویل کالاها	تا با شخص ایکس صحبت کند.	-1.84419
20	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets excited <br /> gets thanked by PersonY	0.41	0.0	PersonX accepts PersonY's offer ## ## ## ## ## ##	en2en	gets thanked	oWant	PersonX accepts PersonY's offer  <oWant_0>  <oWant_1>  <oWant_2>  <oWant_3>  <oWant_4>  <extra_id_0>	20	0.0	to hand over the goods	to hand over the goods	gets thanked	-8.60720
20	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to accept the offer <br /> to accept the offer. <br /> to be helpful	0.53	0.0565262485486904	## PersonX accepts PersonY's offer ##	en2en	to accept the offer	oWant	<oWant>  PersonX accepts PersonY's offer <extra_id_0>	20	0.4444444395061729	to hand over the goods	to hand over the goods	to accept the offer	-7.21440
200	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to be helpful <br /> to help PersonY <br /> to help persony	0.2	0.0372214575392242	PersonX asks PersonY to say ## ## ## ## ## ##	en2en	to be helpful	oWant	PersonX asks PersonY to say  <oWant_0>  <oWant_1>  <oWant_2>  <oWant_3>  <oWant_4>  <extra_id_0>	200	0.2499999953125001	to congratulate the married couple	to congratulate the married couple	to be helpful	-7.19646
200	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets nervous <br /> gets thanked <br /> gets thanked by PersonX	0.53	0.0	PersonX asks PersonY to say ## ## ## ## ## ##	en2en	gets nervous	oWant	PersonX asks PersonY to say  <oWant_0>  <oWant_1>  <oWant_2>  <oWant_3>  <oWant_4>  <extra_id_0>	200	0.0	to congratulate the married couple	to congratulate the married couple	gets thanked	-8.11605
200	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to ask PersonY for saying <br /> to ask PersonY for saying.	0.2	0.0372214575392242	## PersonX asks PersonY to say ##	en2en	to be helpful	oWant	<oWant>  PersonX asks PersonY to say <extra_id_0>	200	0.2499999953125001	to congratulate the married couple	to congratulate the married couple	to ask PersonY for saying.	-7.19646
201	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to be helpful <br /> gets thanked by PersonY <br /> gets thanked	0.56	0.0	PersonX asks PersonY to say ## ## ## ## ##	en2en	to be helpful	xAttr	PersonX asks PersonY to say  <xAttr_0>  <xAttr_1>  <xAttr_2>  <xAttr_3>  <extra_id_0>	201	0.0	friendly	friendly	gets thanked	-6.37738
201	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets nervous <br /> gets excited <br /> PersonX is thanked by personY	0.42	0.0	PersonX asks PersonY to say ## ## ## ## ##	en2en	gets nervous	xAttr	PersonX asks PersonY to say  <xAttr_0>  <xAttr_1>  <xAttr_2>  <xAttr_3>  <extra_id_0>	201	0.0	friendly	friendly	PersonX is thanked by personY	-6.69405
201	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> gets arrested <br /> to ask PersonY for saying.	0.48	0.0	## PersonX asks PersonY to say ##	en2en	to be helpful	xAttr	<xAttr>  PersonX asks PersonY to say <extra_id_0>	201	0.0	friendly	friendly	to be helpful	-6.37738
202	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to be helpful <br /> gets to help persony <br /> gets to be helpful	0.2	0.0	PersonX asks PersonY to say ## ## ## ## ## ## ## ## ##	en2en	to be helpful	xEffect	PersonX asks PersonY to say  <xEffect_0>  <xEffect_1>  <xEffect_2>  <xEffect_3>  <xEffect_4>  <xEffect_5>  <xEffect_6>  <xEffect_7>  <extra_id_0>	202	0.0	Do not hear y say it	Do not hear y say it	gets to help persony	-5.72741
202	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets nervous <br /> gets thanked <br /> gets thanked by PersonX	0.15	0.0	PersonX asks PersonY to say ## ## ## ## ## ## ## ## ##	en2en	gets nervous	xEffect	PersonX asks PersonY to say  <xEffect_0>  <xEffect_1>  <xEffect_2>  <xEffect_3>  <xEffect_4>  <xEffect_5>  <xEffect_6>  <xEffect_7>  <extra_id_0>	202	0.0	Do not hear y say it	Do not hear y say it	gets nervous	-5.27632
202	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	<br /> to be helpful <br /> to get PersonY's attention	0.33	0.0	## PersonX asks PersonY to say ##	en2en	EMPT	xEffect	<xEffect>  PersonX asks PersonY to say <extra_id_0>	202	0.0	Do not hear y say it	Do not hear y say it		-6.70457
203	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to be helpful <br /> to help persony <br /> to help PersonY	1.0	0.5757197301274735	PersonX asks PersonY to say ## ## ## ## ## ##	en2en	to be helpful	xIntent	PersonX asks PersonY to say  <xIntent_0>  <xIntent_1>  <xIntent_2>  <xIntent_3>  <xIntent_4>  <extra_id_0>	203	0.999999995	to be helpful	to be helpful	to be helpful	-5.64290
203	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets nervous <br /> gets excited <br /> PersonX is thanked by personY	0.29	0.0	PersonX asks PersonY to say ## ## ## ## ## ##	en2en	gets nervous	xIntent	PersonX asks PersonY to say  <xIntent_0>  <xIntent_1>  <xIntent_2>  <xIntent_3>  <xIntent_4>  <extra_id_0>	203	0.0	to be helpful	to be helpful	PersonX is thanked by personY	-5.91907
203	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	PersonY wants to say. <br /> PersonY wants to say <br /> PersonY wants to say x	0.39	0.0610332203119731	## PersonX asks PersonY to say ##	en2en	PersonY wants to say	xIntent	<xIntent>  PersonX asks PersonY to say <extra_id_0>	203	0.2857142808163266	to be helpful	to be helpful	PersonY wants to say	-4.78953
204	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to be helpful <br /> to help PersonY <br /> to help persony	0.45	0.108731344705945	PersonX asks PersonY to say ## ## ## ## ## ##	en2en	to be helpful	xNeed	PersonX asks PersonY to say  <xNeed_0>  <xNeed_1>  <xNeed_2>  <xNeed_3>  <xNeed_4>  <extra_id_0>	204	0.5714285665306124	to be talking to him	to be talking to him	to be helpful	-4.96356
204	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets nervous <br /> gets excited <br /> PersonX is thanked by personY	0.21	0.0	PersonX asks PersonY to say ## ## ## ## ## ##	en2en	gets nervous	xNeed	PersonX asks PersonY to say  <xNeed_0>  <xNeed_1>  <xNeed_2>  <xNeed_3>  <xNeed_4>  <extra_id_0>	204	0.0	to be talking to him	to be talking to him	gets excited	-5.78087
204	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to ask PersonY for saying <br /> to ask PersonY for saying the agreement	0.46	0.108731344705945	## PersonX asks PersonY to say ##	en2en	to be helpful	xNeed	<xNeed>  PersonX asks PersonY to say <extra_id_0>	204	0.5714285665306124	to be talking to him	to be talking to him	to ask PersonY for saying	-4.96356
205	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	happy <br /> to be helpful <br /> to be helpful.	0.83	0.0	PersonX asks PersonY to say ## ## ## ## ## ##	en2en	happy	xReact	PersonX asks PersonY to say  <xReact_0>  <xReact_1>  <xReact_2>  <xReact_3>  <xReact_4>  <extra_id_0>	205	0.0	helpful	helpful	to be helpful	-5.47471
205	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets nervous <br /> gets thanked <br /> gets thanked by PersonX	0.38	0.0	PersonX asks PersonY to say ## ## ## ## ## ##	en2en	gets nervous	xReact	PersonX asks PersonY to say  <xReact_0>  <xReact_1>  <xReact_2>  <xReact_3>  <xReact_4>  <extra_id_0>	205	0.0	helpful	helpful	gets thanked	-4.98337
205	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to ask PersonY for saying <br />	0.83	0.0724974999068182	## PersonX asks PersonY to say ##	en2en	to be helpful	xReact	<xReact>  PersonX asks PersonY to say <extra_id_0>	205	0.4999999962500001	helpful	helpful	to be helpful	-4.87278
206	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to ask PersonY to say <br /> to help persony <br /> to help PersonY	0.72	0.0542869398587923	PersonX asks PersonY to say ## ## ## ## ## ##	en2en	to ask PersonY to say	xWant	PersonX asks PersonY to say  <xWant_0>  <xWant_1>  <xWant_2>  <xWant_3>  <xWant_4>  <extra_id_0>	206	0.5714285665306124	to influence PersonY	to influence PersonY	to help PersonY	-4.03652
206	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets nervous <br /> gets thanked <br /> gets thanked by PersonX	0.38	0.0	PersonX asks PersonY to say ## ## ## ## ## ##	en2en	gets nervous	xWant	PersonX asks PersonY to say  <xWant_0>  <xWant_1>  <xWant_2>  <xWant_3>  <xWant_4>  <extra_id_0>	206	0.0	to influence PersonY	to influence PersonY	gets thanked by PersonX	-6.74321
206	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to ask PersonY for saying <br /> to ask PersonY for saying.	0.57	0.0724974999068182	## PersonX asks PersonY to say ##	en2en	to be helpful	xWant	<xWant>  PersonX asks PersonY to say <extra_id_0>	206	0.3333333283333334	to influence PersonY	to influence PersonY	to ask PersonY for saying	-5.70986
